"Database","Source","study_id","study_site_core","site_id","Site","Plot","core_id","Habitat_type","Year_collected","Latitude","Longitude","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3","DOI"
"Maxwell",NA,"Ruiz-Fernández et al., 2017","Ruiz-Fernández et al., 2017_EU_EUII","EU",NA,NA,"EUII","tropical salt marsh",NA,"23.17579","-106.33599",0.16,0.17,1.5,0.09,1.16,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"Maxwell",NA,"Ruiz-Fernández et al., 2017","Ruiz-Fernández et al., 2017_EU_EUII","EU",NA,NA,"EUII","tropical salt marsh",NA,"23.17579","-106.33599",0.17,0.18,1.57,0.09,0.73,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"Maxwell",NA,"Ruiz-Fernández et al., 2017","Ruiz-Fernández et al., 2017_EU_EUII","EU",NA,NA,"EUII","tropical salt marsh",NA,"23.17579","-106.33599",0.18,0.19,1.37,0.08,0.97,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"Maxwell",NA,"Ruiz-Fernández et al., 2017","Ruiz-Fernández et al., 2017_EU_EUII","EU",NA,NA,"EUII","tropical salt marsh",NA,"23.17579","-106.33599",0.19,0.2,1.18,0.07,1.53,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"Maxwell",NA,"Ruiz-Fernández et al., 2017","Ruiz-Fernández et al., 2017_EU_EUII","EU",NA,NA,"EUII","tropical salt marsh",NA,"23.17579","-106.33599",0.2,0.21,0.98,0.06,1.33,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"Maxwell",NA,"Ruiz-Fernández et al., 2017","Ruiz-Fernández et al., 2017_EU_EUII","EU",NA,NA,"EUII","tropical salt marsh",NA,"23.17579","-106.33599",0.21,0.22,0.78,0.05,1.43,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"Maxwell",NA,"Ruiz-Fernández et al., 2017","Ruiz-Fernández et al., 2017_EU_EUII","EU",NA,NA,"EUII","tropical salt marsh",NA,"23.17579","-106.33599",0.22,0.23,0.82,0.05,0.89,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"Maxwell",NA,"Ruiz-Fernández et al., 2017","Ruiz-Fernández et al., 2017_EU_EUII","EU",NA,NA,"EUII","tropical salt marsh",NA,"23.17579","-106.33599",0.23,0.24,0.92,0.05,1.03,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"Maxwell",NA,"Ruiz-Fernández et al., 2017","Ruiz-Fernández et al., 2017_EU_EUII","EU",NA,NA,"EUII","tropical salt marsh",NA,"23.17579","-106.33599",0.24,0.25,0.76,0.04,1.66,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"Maxwell",NA,"Ruiz-Fernández et al., 2017","Ruiz-Fernández et al., 2017_EU_EUII","EU",NA,NA,"EUII","tropical salt marsh",NA,"23.17579","-106.33599",0.25,0.26,0.7,0.04,1.37,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"Maxwell",NA,"Ruiz-Fernández et al., 2017","Ruiz-Fernández et al., 2017_EU_EUII","EU",NA,NA,"EUII","tropical salt marsh",NA,"23.17579","-106.33599",0.26,0.27,0.82,0.05,1.04,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"Maxwell",NA,"Ruiz-Fernández et al., 2017","Ruiz-Fernández et al., 2017_EU_EUII","EU",NA,NA,"EUII","tropical salt marsh",NA,"23.17579","-106.33599",0.27,0.28,0.57,0.03,0.88,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"Maxwell",NA,"Ruiz-Fernández et al., 2017","Ruiz-Fernández et al., 2017_EU_EUII","EU",NA,NA,"EUII","tropical salt marsh",NA,"23.17579","-106.33599",0.28,0.29,0.68,0.04,1.24,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"Maxwell",NA,"Ruiz-Fernández et al., 2017","Ruiz-Fernández et al., 2017_EU_EUII","EU",NA,NA,"EUII","tropical salt marsh",NA,"23.17579","-106.33599",0.29,0.3,0.86,0.04,1.03,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"Maxwell",NA,"Ruiz-Fernández et al., 2017","Ruiz-Fernández et al., 2017_EU_EUII","EU",NA,NA,"EUII","tropical salt marsh",NA,"23.17579","-106.33599",0.3,0.31,0.76,0.04,1.28,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"Maxwell",NA,"Ruiz-Fernández et al., 2017","Ruiz-Fernández et al., 2017_EU_EUII","EU",NA,NA,"EUII","tropical salt marsh",NA,"23.17579","-106.33599",0.31,0.32,0.88,0.05,1.22,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"Maxwell",NA,"Ruiz-Fernández et al., 2017","Ruiz-Fernández et al., 2017_EU_EUII","EU",NA,NA,"EUII","tropical salt marsh",NA,"23.17579","-106.33599",0.32,0.33,1.05,0.05,1.24,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"Maxwell",NA,"Ruiz-Fernández et al., 2017","Ruiz-Fernández et al., 2017_EU_EUII","EU",NA,NA,"EUII","tropical salt marsh",NA,"23.17579","-106.33599",0.33,0.34,1.44,0.07,0.93,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"Maxwell",NA,"Ruiz-Fernández et al., 2017","Ruiz-Fernández et al., 2017_EU_EUII","EU",NA,NA,"EUII","tropical salt marsh",NA,"23.17579","-106.33599",0.34,0.35,0.96,0.05,1.18,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"Maxwell",NA,"Ruiz-Fernández et al., 2017","Ruiz-Fernández et al., 2017_EU_EUII","EU",NA,NA,"EUII","tropical salt marsh",NA,"23.17579","-106.33599",0.35,0.36,1.08,0.05,1.51,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"Maxwell",NA,"Ruiz-Fernández et al., 2017","Ruiz-Fernández et al., 2017_EU_EUII","EU",NA,NA,"EUII","tropical salt marsh",NA,"23.17579","-106.33599",0.36,0.37,0.92,0.04,1.03,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"Maxwell",NA,"Ruiz-Fernández et al., 2017","Ruiz-Fernández et al., 2017_EU_EUII","EU",NA,NA,"EUII","tropical salt marsh",NA,"23.17579","-106.33599",0.37,0.38,0.76,0.04,1.7,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"Maxwell",NA,"Ruiz-Fernández et al., 2017","Ruiz-Fernández et al., 2017_EU_EUII","EU",NA,NA,"EUII","tropical salt marsh",NA,"23.17579","-106.33599",0.38,0.39,0.76,0.04,1.19,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"Maxwell",NA,"Ruiz-Fernández et al., 2017","Ruiz-Fernández et al., 2017_EU_EUII","EU",NA,NA,"EUII","tropical salt marsh",NA,"23.17579","-106.33599",0.39,0.4,0.8,0.04,1.28,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"Maxwell",NA,"Ruiz-Fernández et al., 2017","Ruiz-Fernández et al., 2017_EU_EUII","EU",NA,NA,"EUII","tropical salt marsh",NA,"23.17579","-106.33599",0.4,0.41,0.65,0.03,1.77,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"Maxwell",NA,"Ruiz-Fernández et al., 2017","Ruiz-Fernández et al., 2017_EU_EUII","EU",NA,NA,"EUII","tropical salt marsh",NA,"23.17579","-106.33599",0.41,0.42,0.63,0.03,0.86,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"Maxwell",NA,"Ruiz-Fernández et al., 2017","Ruiz-Fernández et al., 2017_EU_EUII","EU",NA,NA,"EUII","tropical salt marsh",NA,"23.17579","-106.33599",0.42,0.43,0.65,0.03,1.51,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"Maxwell",NA,"Ruiz-Fernández et al., 2017","Ruiz-Fernández et al., 2017_EU_EUII","EU",NA,NA,"EUII","tropical salt marsh",NA,"23.17579","-106.33599",0.43,0.44,0.67,0.03,0.92,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
